Year,Plaice_index,Plaice_low95,Plaice_high95,Cod_index,Cod_low95,Cod_high95,Both_index,Both_low95,Both_high95
1996,0.562206721,0.518610194,0.605803249,0.614017586,0.576903223,0.65113195,0.604292927,0.566998015,0.64158784
1997,0.497858173,0.452269803,0.543446543,0.498941938,0.450468032,0.547415844,0.493385681,0.44991729,0.536854073
1998,0.578112793,0.536232818,0.619992767,0.708203481,0.637932815,0.778474148,0.634718603,0.58387582,0.685561386
1999,0.599209934,0.557840494,0.640579374,0.623033785,0.563849207,0.682218362,0.619789449,0.573787456,0.665791442
2000,0.537568652,0.495843839,0.579293465,0.589858185,0.551857202,0.627859168,0.574390462,0.536935093,0.61184583
2001,0.507159551,0.46347498,0.550844122,0.584754838,0.546554651,0.622955024,0.554033353,0.515367409,0.592699297
2002,0.420406154,0.372619541,0.468192766,0.510579104,0.464164565,0.556993642,0.445968455,0.401105574,0.490831336
2003,0.491654703,0.448638921,0.534670484,0.448054373,0.400199724,0.495909021,0.451242014,0.40831884,0.494165188
2004,0.667492749,0.616456716,0.718528782,0.786895435,0.718565568,0.855225301,0.78926902,0.724491295,0.854046745
2005,0.651818332,0.602075759,0.701560905,0.637493888,0.593606016,0.681381759,0.66301623,0.618294795,0.707737665
2006,0.829749418,0.663508415,0.995990421,0.663056804,0.593128357,0.732985251,0.686207601,0.60451536,0.767899842
2007,0.627140911,0.576824181,0.677457641,0.631362528,0.590105706,0.672619349,0.648082536,0.605402893,0.690762179
2008,0.57690579,0.530649338,0.623162242,0.691019604,0.641743565,0.740295644,0.674921488,0.62830952,0.721533455
2009,0.50426023,0.45605093,0.55246953,0.466584024,0.41800708,0.515160968,0.474145408,0.429783065,0.51850775
2010,0.604935891,0.559579099,0.650292683,0.562412857,0.520268575,0.604557138,0.584938336,0.544674948,0.625201723
2011,0.65625924,0.604685066,0.707833413,0.565787025,0.527512422,0.604061628,0.603392173,0.56438885,0.642395495
2012,0.628196605,0.577053196,0.679340014,0.714056518,0.663426681,0.764686355,0.724985869,0.673989953,0.775981786
2013,0.683493542,0.625766241,0.741220842,0.643952554,0.606141468,0.68176364,0.671414774,0.629578554,0.713250995
2014,0.743405347,0.678998489,0.807812206,0.617304321,0.579552255,0.655056387,0.678766124,0.633916391,0.723615857
2015,0.632425232,0.578438561,0.686411902,0.649745983,0.607802576,0.69168939,0.667392618,0.62299859,0.711786646
2016,0.493829547,0.436608145,0.551050949,0.449671053,0.404498045,0.494844062,0.438179147,0.393518817,0.482839478
2017,0.689204994,0.596461236,0.781948752,0.556691254,0.50656344,0.606819068,0.584510671,0.530836533,0.638184808
2018,0.784458718,0.70201944,0.866897995,0.593064216,0.553509511,0.632618922,0.642384694,0.596673101,0.688096288
